Dish Name,Calories (kcal),Carbohydrates (g) per 100kcal,Protein (g) per 100kcal,Fats (g) per 100kcal,Free Sugar (g) per 100kcal,Fibre (g) per 100kcal,Sodium (mg) per 100kcal,Calcium (mg) per 100kcal,Iron (mg) per 100kcal,Vitamin C (mg) per 100kcal,Food Name,Type,Recommended Meal
Chicken stew,127.55,3.480987848,5.637005096,6.985495884,1.121128969,1.426891415,62.42257938,24.71971776,0.705605645,16.37789102,Chicken stew,Non-Veg,Lunch/Dinner
Veg paneer stew,145.55,7.021642047,4.795602886,5.778083133,3.332188251,2.116111302,50.25764342,110.2782549,0.9412573,22.26726211,Veg paneer stew,Veg,Lunch/Dinner
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,13.78679354,2.284728394,3.800909709,1.416845297,2.697757097,126.0992315,13.02347467,0.946306269,1.594604486,Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),Veg,Breakfast
Methi parantha/paratha,148.36,14.95686169,2.878134268,2.925316797,1.644648153,3.430843893,32.59638717,44.38527905,1.631167431,8.513076301,Methi parantha/paratha,Veg,Breakfast
Bathua poori,598.79,2.312997879,0.392458124,9.876584445,0.068471417,0.312296465,8.301741846,5.148716578,0.160323319,0.761535764,Bathua poori,Veg,Breakfast
Gram flour poori (Besan poori),697.66,1.566665711,0.371241006,10.2499785,0.050167703,0.278072413,8.360806123,1.016254336,0.10176877,0.0,Gram flour poori (Besan poori),Veg,Breakfast
Beetroot poori (Chukandar ki poori),527.66,2.329151347,0.361975515,9.888943638,0.102338627,0.265322367,8.808702574,1.019595952,0.113709586,0.054959633,Beetroot poori (Chukandar ki poori),Veg,Breakfast
Peas poori (Matar ki poori),592.83,2.51674173,0.512794562,9.731288902,0.080967562,0.379535449,8.05795928,1.511394498,0.141693234,0.777625964,Peas poori (Matar ki poori),Veg,Breakfast
Peas kachori (Matar kachori),584.68,2.266196894,0.549018266,9.836149689,0.085516864,0.347198468,9.483820209,2.437230622,0.13169597,1.729150989,Peas kachori (Matar kachori),Veg,Any
Pizza,146.77,6.772501192,4.667166315,5.941268652,0.940246644,1.165088233,153.3147101,52.61974518,0.449683178,29.22940655,Pizza,Veg,Any
Bacon and mushroom pancake,157.67,5.371979451,4.325489947,6.722902264,0.780110357,1.00843534,218.3230799,28.37572144,0.342487474,1.21139088,Bacon and mushroom pancake,Non-Veg,Breakfast
Cheese and tomato pancake,147.39,7.232512382,3.494131217,6.296220911,2.361082841,0.719180406,191.0713074,86.51197503,0.434222132,6.594748626,Cheese and tomato pancake,Veg,Breakfast
Minced meat pancake (with chicken),116.04,7.049293347,10.34987935,9.031368494,1.111685626,0.603240262,4259.031368,55.77387108,1.714925888,1.844191658,Minced meat pancake (with chicken),Non-Veg,Breakfast
Eggplant/Brinjal rice (Vangi bhat),184.8,17.17532468,2.857142857,1.985930736,2.359307359,2.402597403,31.95887446,19.49134199,1.033549784,1.747835498,Eggplant/Brinjal rice (Vangi bhat),Veg,Lunch/Dinner
